frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
1642954619.887829000	92	08:6a:c5:56:d1:64	ff:ff:ff:ff:ff:ff	192.168.1.102	192.168.1.255			137	137									
1642954620.138057000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954620.138292000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954620.138549000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954620.138758000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954620.138965000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954620.139137000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954620.139369000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954620.139545000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954620.649466000	92	08:6a:c5:56:d1:64	ff:ff:ff:ff:ff:ff	192.168.1.102	192.168.1.255			137	137									
1642954621.411734000	92	08:6a:c5:56:d1:64	ff:ff:ff:ff:ff:ff	192.168.1.102	192.168.1.255			137	137									
1642954621.412071000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954621.412275000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954621.412574000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954621.412725000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954621.412974000	95	08:6a:c5:56:d1:64	33:33:00:01:00:03					54510	5355								fe80::3408:f256:f3f0:340a	ff02::1:3
1642954621.413038000	75	08:6a:c5:56:d1:64	01:00:5e:00:00:fc	192.168.1.102	224.0.0.252			54510	5355									
1642954621.413166000	95	08:6a:c5:56:d1:64	33:33:00:01:00:03					56296	5355								fe80::3408:f256:f3f0:340a	ff02::1:3
1642954621.413210000	75	08:6a:c5:56:d1:64	01:00:5e:00:00:fc	192.168.1.102	224.0.0.252			56296	5355									
1642954621.413551000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954621.413699000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954621.413933000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954621.414082000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954621.505281000	55	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	54.174.172.177	2629	443											
1642954621.728505000	66	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	54.174.172.177	192.168.1.102	443	2629											
1642954621.827131000	95	08:6a:c5:56:d1:64	33:33:00:01:00:03					54510	5355								fe80::3408:f256:f3f0:340a	ff02::1:3
1642954621.827143000	95	08:6a:c5:56:d1:64	33:33:00:01:00:03					56296	5355								fe80::3408:f256:f3f0:340a	ff02::1:3
1642954621.827199000	75	08:6a:c5:56:d1:64	01:00:5e:00:00:fc	192.168.1.102	224.0.0.252			54510	5355									
1642954621.827230000	75	08:6a:c5:56:d1:64	01:00:5e:00:00:fc	192.168.1.102	224.0.0.252			56296	5355									
1642954622.172740000	92	08:6a:c5:56:d1:64	ff:ff:ff:ff:ff:ff	192.168.1.102	192.168.1.255			137	137									
1642954622.421053000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954622.421322000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954622.421735000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954622.421947000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954622.422280000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954622.422467000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954622.422747000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954622.422972000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954622.933318000	92	08:6a:c5:56:d1:64	ff:ff:ff:ff:ff:ff	192.168.1.102	192.168.1.255			137	137									
1642954623.334751000	164	08:6a:c5:56:d1:64	ec:fa:5c:ec:1c:0f	192.168.1.102	192.168.1.108	2247	8009											
1642954623.337120000	164	ec:fa:5c:ec:1c:0f	08:6a:c5:56:d1:64	192.168.1.108	192.168.1.102	8009	2247											
1642954623.381363000	54	08:6a:c5:56:d1:64	ec:fa:5c:ec:1c:0f	192.168.1.102	192.168.1.108	2247	8009											
1642954623.692223000	92	08:6a:c5:56:d1:64	ff:ff:ff:ff:ff:ff	192.168.1.102	192.168.1.255			137	137									
1642954623.692677000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954623.692908000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954623.693272000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954623.693466000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954623.693779000	95	08:6a:c5:56:d1:64	33:33:00:01:00:03					63296	5355								fe80::3408:f256:f3f0:340a	ff02::1:3
1642954623.693843000	75	08:6a:c5:56:d1:64	01:00:5e:00:00:fc	192.168.1.102	224.0.0.252			63296	5355									
1642954623.693974000	95	08:6a:c5:56:d1:64	33:33:00:01:00:03					62154	5355								fe80::3408:f256:f3f0:340a	ff02::1:3
1642954623.694033000	75	08:6a:c5:56:d1:64	01:00:5e:00:00:fc	192.168.1.102	224.0.0.252			62154	5355									
1642954623.694557000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954623.694812000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954623.695158000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954623.695304000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954624.109637000	95	08:6a:c5:56:d1:64	33:33:00:01:00:03					63296	5355								fe80::3408:f256:f3f0:340a	ff02::1:3
1642954624.109651000	95	08:6a:c5:56:d1:64	33:33:00:01:00:03					62154	5355								fe80::3408:f256:f3f0:340a	ff02::1:3
1642954624.109703000	75	08:6a:c5:56:d1:64	01:00:5e:00:00:fc	192.168.1.102	224.0.0.252			63296	5355									
1642954624.109750000	75	08:6a:c5:56:d1:64	01:00:5e:00:00:fc	192.168.1.102	224.0.0.252			62154	5355									
1642954624.451150000	92	08:6a:c5:56:d1:64	ff:ff:ff:ff:ff:ff	192.168.1.102	192.168.1.255			137	137									
1642954624.699668000	164	08:6a:c5:56:d1:64	ec:fa:5c:ec:1c:0f	192.168.1.102	192.168.1.108	2140	8009											
1642954624.699945000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954624.700349000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954624.700708000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954624.700946000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954624.701207000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954624.701366000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954624.701723000	81	08:6a:c5:56:d1:64	01:00:5e:00:00:fb	192.168.1.102	224.0.0.251			5353	5353									
1642954624.701885000	101	08:6a:c5:56:d1:64	33:33:00:00:00:fb					5353	5353								fe80::3408:f256:f3f0:340a	ff02::fb
1642954624.703192000	164	ec:fa:5c:ec:1c:0f	08:6a:c5:56:d1:64	192.168.1.108	192.168.1.102	8009	2140											
1642954624.745448000	54	08:6a:c5:56:d1:64	ec:fa:5c:ec:1c:0f	192.168.1.102	192.168.1.108	2140	8009											
1642954625.214188000	92	08:6a:c5:56:d1:64	ff:ff:ff:ff:ff:ff	192.168.1.102	192.168.1.255			137	137									
1642954625.754991000	55	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	104.18.26.211	2546	443											
1642954625.759426000	66	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	104.18.26.211	192.168.1.102	443	2546											
1642954626.092576000	55	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	54.169.241.91	2630	443											
1642954626.136419000	66	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	54.169.241.91	192.168.1.102	443	2630											
1642954626.729011000	42	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64									1	8c:3b:ad:ea:3d:5d	192.168.1.1	00:00:00:00:00:00	192.168.1.102		
1642954626.729047000	42	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d									2	08:6a:c5:56:d1:64	192.168.1.102	8c:3b:ad:ea:3d:5d	192.168.1.1		
1642954626.825762000	83	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	31.13.75.17	2605	443											
1642954626.829616000	54	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	31.13.75.17	192.168.1.102	443	2605											
1642954626.954290000	79	8c:3b:ad:ea:3d:5d	08:6a:c5:56:d1:64	31.13.75.17	192.168.1.102	443	2605											
1642954626.996386000	54	08:6a:c5:56:d1:64	8c:3b:ad:ea:3d:5d	192.168.1.102	31.13.75.17	2605	443											
1642954627.324410000	167	d0:13:fd:58:ec:ee	08:6a:c5:56:d1:64	192.168.1.103	239.255.255.250			36569	1900									
1642954627.324410000	167	d0:13:fd:58:ec:ee	08:6a:c5:56:d1:64	192.168.1.103	239.255.255.250			36569	1900									
